signal_date,execution_date,next_execution_date,n_long,n_short,gated_flat,net_pips,variant
2021-07-29 21:00:00+00:00,2021-08-01 21:00:00+00:00,2021-09-01 21:00:00+00:00,3,3,False,-47.1013921410376,value
2021-08-31 21:00:00+00:00,2021-09-01 21:00:00+00:00,2021-10-03 21:00:00+00:00,3,3,False,-69.7935664845892,value
2021-09-30 21:00:00+00:00,2021-10-03 21:00:00+00:00,2021-11-01 21:00:00+00:00,3,3,False,-249.48904048587463,value
2021-10-31 21:00:00+00:00,2021-11-01 21:00:00+00:00,2021-12-01 22:00:00+00:00,3,3,False,39.35546737629479,value
2021-11-30 22:00:00+00:00,2021-12-01 22:00:00+00:00,2022-01-02 22:00:00+00:00,3,3,False,-101.66708871462312,value
2021-12-30 22:00:00+00:00,2022-01-02 22:00:00+00:00,2022-02-01 22:00:00+00:00,3,3,False,56.115082355722116,value
2022-01-31 22:00:00+00:00,2022-02-01 22:00:00+00:00,2022-03-01 22:00:00+00:00,3,3,False,-108.33798761694344,value
2022-02-28 22:00:00+00:00,2022-03-01 22:00:00+00:00,2022-04-03 21:00:00+00:00,3,3,False,-427.4950203430178,value
2022-03-31 21:00:00+00:00,2022-04-03 21:00:00+00:00,2022-05-01 21:00:00+00:00,3,3,False,-219.26065227175258,value
2022-04-28 21:00:00+00:00,2022-05-01 21:00:00+00:00,2022-06-01 21:00:00+00:00,3,3,False,-90.03124752712688,value
2022-05-31 21:00:00+00:00,2022-06-01 21:00:00+00:00,2022-07-03 21:00:00+00:00,3,3,False,-305.76058059268183,value
2022-06-30 21:00:00+00:00,2022-07-03 21:00:00+00:00,2022-08-01 21:00:00+00:00,3,3,False,72.13766165961108,value
2022-07-31 21:00:00+00:00,2022-08-01 21:00:00+00:00,2022-09-01 21:00:00+00:00,3,3,False,-344.5800872839534,value
2022-08-31 21:00:00+00:00,2022-09-01 21:00:00+00:00,2022-10-02 21:00:00+00:00,3,3,False,-135.73496708982108,value
2022-09-29 21:00:00+00:00,2022-10-02 21:00:00+00:00,2022-11-01 21:00:00+00:00,3,3,False,-128.04354674452736,value
2022-10-31 21:00:00+00:00,2022-11-01 21:00:00+00:00,2022-12-01 22:00:00+00:00,3,3,False,395.4422750234339,value
2022-11-30 22:00:00+00:00,2022-12-01 22:00:00+00:00,2023-01-01 22:00:00+00:00,3,3,False,113.03092534009832,value
2022-12-29 22:00:00+00:00,2023-01-01 22:00:00+00:00,2023-02-01 22:00:00+00:00,3,3,False,16.920481485460506,value
2023-01-31 22:00:00+00:00,2023-02-01 22:00:00+00:00,2023-03-01 22:00:00+00:00,3,3,False,-203.3239246315603,value
2023-02-28 22:00:00+00:00,2023-03-01 22:00:00+00:00,2023-04-02 21:00:00+00:00,3,3,False,107.18555401300421,value
2023-03-30 21:00:00+00:00,2023-04-02 21:00:00+00:00,2023-05-01 21:00:00+00:00,3,3,False,-136.69633229803608,value
2023-04-30 21:00:00+00:00,2023-05-01 21:00:00+00:00,2023-06-01 21:00:00+00:00,3,3,False,-56.020658013212696,value
2023-05-31 21:00:00+00:00,2023-06-01 21:00:00+00:00,2023-07-02 21:00:00+00:00,3,3,False,-196.97716258922588,value
2023-06-29 21:00:00+00:00,2023-07-02 21:00:00+00:00,2023-08-01 21:00:00+00:00,3,3,False,-25.91375625656152,value
2023-07-31 21:00:00+00:00,2023-08-01 21:00:00+00:00,2023-09-03 21:00:00+00:00,3,3,False,-131.83629076583887,value
2023-08-31 21:00:00+00:00,2023-09-03 21:00:00+00:00,2023-10-01 21:00:00+00:00,3,3,False,-182.6156905397652,value
2023-09-28 21:00:00+00:00,2023-10-01 21:00:00+00:00,2023-11-01 21:00:00+00:00,3,3,False,-85.7022367331263,value
2023-10-31 21:00:00+00:00,2023-11-01 21:00:00+00:00,2023-12-03 22:00:00+00:00,3,3,False,76.10449101336368,value
2023-11-30 22:00:00+00:00,2023-12-03 22:00:00+00:00,2024-01-01 22:00:00+00:00,3,3,False,88.79498523640423,value
2023-12-28 22:00:00+00:00,2024-01-01 22:00:00+00:00,2024-02-01 22:00:00+00:00,3,3,False,-138.18100416689697,value
2024-01-31 22:00:00+00:00,2024-02-01 22:00:00+00:00,2024-03-03 22:00:00+00:00,3,3,False,-81.84251919220472,value
2024-02-29 22:00:00+00:00,2024-03-03 22:00:00+00:00,2024-04-01 21:00:00+00:00,3,3,False,-26.79435664145962,value
2024-03-31 21:00:00+00:00,2024-04-01 21:00:00+00:00,2024-05-01 21:00:00+00:00,3,3,False,-108.53260556583723,value
2024-04-30 21:00:00+00:00,2024-05-01 21:00:00+00:00,2024-06-02 21:00:00+00:00,3,3,False,-117.99724306511868,value
2024-05-30 21:00:00+00:00,2024-06-02 21:00:00+00:00,2024-07-01 21:00:00+00:00,3,3,False,-192.74269275176422,value
2024-06-30 21:00:00+00:00,2024-07-01 21:00:00+00:00,2024-08-01 21:00:00+00:00,3,3,False,336.22141299989414,value
2020-11-30 22:00:00+00:00,2020-12-01 22:00:00+00:00,2021-01-03 22:00:00+00:00,3,3,False,36.86258474840021,composite
2020-12-30 22:00:00+00:00,2021-01-03 22:00:00+00:00,2021-02-01 22:00:00+00:00,3,3,False,-99.40168690524406,composite
2021-01-31 22:00:00+00:00,2021-02-01 22:00:00+00:00,2021-03-01 22:00:00+00:00,3,3,False,-72.33184969620444,composite
2021-02-28 22:00:00+00:00,2021-03-01 22:00:00+00:00,2021-04-01 21:00:00+00:00,3,3,False,-220.40929448217219,composite
2021-03-31 21:00:00+00:00,2021-04-01 21:00:00+00:00,2021-05-02 21:00:00+00:00,3,3,False,-19.564865138933982,composite
2021-04-29 21:00:00+00:00,2021-05-02 21:00:00+00:00,2021-06-01 21:00:00+00:00,3,3,False,-10.459226345830217,composite
2021-05-31 21:00:00+00:00,2021-06-01 21:00:00+00:00,2021-07-01 21:00:00+00:00,3,3,False,-110.37505324572918,composite
2021-06-30 21:00:00+00:00,2021-07-01 21:00:00+00:00,2021-08-01 21:00:00+00:00,3,3,False,61.57958595956413,composite
2021-07-29 21:00:00+00:00,2021-08-01 21:00:00+00:00,2021-09-01 21:00:00+00:00,3,3,False,-28.23185603819271,composite
2021-08-31 21:00:00+00:00,2021-09-01 21:00:00+00:00,2021-10-03 21:00:00+00:00,3,3,False,-89.28325930096763,composite
2021-09-30 21:00:00+00:00,2021-10-03 21:00:00+00:00,2021-11-01 21:00:00+00:00,3,3,False,-269.66480330160016,composite
2021-10-31 21:00:00+00:00,2021-11-01 21:00:00+00:00,2021-12-01 22:00:00+00:00,3,3,False,68.0946897231587,composite
2021-11-30 22:00:00+00:00,2021-12-01 22:00:00+00:00,2022-01-02 22:00:00+00:00,3,3,False,11.447425626328766,composite
2021-12-30 22:00:00+00:00,2022-01-02 22:00:00+00:00,2022-02-01 22:00:00+00:00,3,3,False,4.77311425837879,composite
2022-01-31 22:00:00+00:00,2022-02-01 22:00:00+00:00,2022-03-01 22:00:00+00:00,3,3,False,-89.27446338895746,composite
2022-02-28 22:00:00+00:00,2022-03-01 22:00:00+00:00,2022-04-03 21:00:00+00:00,3,3,False,-427.4950203430178,composite
2022-03-31 21:00:00+00:00,2022-04-03 21:00:00+00:00,2022-05-01 21:00:00+00:00,3,3,False,-200.85952931201476,composite
2022-04-28 21:00:00+00:00,2022-05-01 21:00:00+00:00,2022-06-01 21:00:00+00:00,3,3,False,-77.51384858163473,composite
2022-05-31 21:00:00+00:00,2022-06-01 21:00:00+00:00,2022-07-03 21:00:00+00:00,3,3,False,-51.51844471725323,composite
2022-06-30 21:00:00+00:00,2022-07-03 21:00:00+00:00,2022-08-01 21:00:00+00:00,3,3,False,12.192207451217119,composite
2022-07-31 21:00:00+00:00,2022-08-01 21:00:00+00:00,2022-09-01 21:00:00+00:00,3,3,False,173.72512619090443,composite
