half_zone_pips,target_beyond_pips,profit_factor,ez_ratio,n_cycles,net_pnl_pips,mean_pnl_pips,win_rate,sharpe,sqn,profit_factor_result,max_dd_pips,avg_legs,max_legs_hit_pct,exit_target_pct,exit_maxlegs_pct
15.0,15,1.0,0.5,15166,-67147.30000001761,-4.427489120402058,0.8801265989713833,-0.05683610508096842,-6.999384224572322,0.6521252813805054,-67810.50000001774,2.813002769352499,0.1730845311881841,0.07431095872346037,0.16616114994065673
15.0,15,1.5,0.5,15166,-90748.90000002139,-5.983706976132229,0.8857312409336674,-0.057109120120003284,-7.033006112535428,0.6262892148848033,-91510.70000002123,2.813002769352499,0.1730845311881841,0.07431095872346037,0.16616114994065673
5.0,20,1.0,2.0,23061,-74482.19999992268,-3.229790555479931,0.733099171761849,-0.058001842818305414,-8.808072079481176,0.8054646926758554,-74733.799999923,5.2384978968821825,0.4411777459780582,0.06604223580937514,0.4333289970079355
20.0,6,1.1,0.15,14532,-76837.00000000815,-5.287434627030564,0.8861822185521607,-0.05843874020670104,-7.044716810429188,0.43952154687584283,-78076.9000000079,1.8155105973025047,0.04328378750344068,0.1636388659510047,0.038604459124690335
25.0,6,1.5,0.12,12103,-121091.60000000012,-10.00508964719492,0.9283648682144923,-0.058785531067999316,-6.467209988677039,0.3229148552497113,-121476.50000000032,1.6635544906221598,0.03552838139304305,0.1378170701478972,0.03131455011154259
20.0,6,1.0,0.15,14532,-76431.70000000813,-5.259544453620157,0.8861822185521607,-0.05892343280904077,-7.103145895510693,0.44078716802273443,-77667.0000000079,1.8155105973025047,0.04328378750344068,0.1636388659510047,0.038604459124690335
10.0,15,1.0,0.75,18651,-69142.99999993287,-3.70720068628668,0.8403838936250067,-0.059242129852149536,-8.090618529297545,0.7072683957998769,-69957.29999993378,3.459010240737762,0.23414294139724412,0.09382874912873304,0.22572516218969493
25.0,6,1.3,0.12,12103,-111537.79999999994,-9.215715111955708,0.9022556390977443,-0.05933961047822165,-6.528166278961551,0.3198537235907453,-111862.69999999914,1.6635544906221598,0.03552838139304305,0.1378170701478972,0.03131455011154259
25.0,6,1.19,0.12,12103,-111290.89999999995,-9.195315211104681,0.9022556390977443,-0.05954588540851172,-6.550859333959089,0.3203360123118866,-111615.79999999914,1.6635544906221598,0.03552838139304305,0.1378170701478972,0.03131455011154259
10.0,15,1.1,0.75,18651,-75088.89999993036,-4.025998605969137,0.8429038657444641,-0.05995431835651609,-8.187881161889607,0.6936359890168188,-75930.39999993143,3.459010240737762,0.23414294139724412,0.09382874912873304,0.22572516218969493
25.0,6,1.1,0.12,12103,-101776.4999999997,-8.409196067090779,0.8855655622572915,-0.06004136816569893,-6.60536919341399,0.32310867279378114,-102074.39999999937,1.6635544906221598,0.03552838139304305,0.1378170701478972,0.03131455011154259
10.0,15,1.19,0.75,18651,-80354.79999992833,-4.308337354561597,0.84585276928851,-0.06036740462524893,-8.244295801747242,0.6828251075411531,-81210.29999992931,3.459010240737762,0.23414294139724412,0.09382874912873304,0.22572516218969493
15.0,12,1.3,0.4,15394,-100510.90000001132,-6.5292256723406075,0.8908665713914512,-0.060527714238627024,-7.509828421177732,0.5389228479091834,-101956.80000001244,2.6681824087306745,0.1458360400155905,0.10543068728075873,0.13817071586332338
20.0,5,1.5,0.125,15062,-113032.80000001295,-7.504501394238013,0.918868676138627,-0.06054483844555156,-7.430506977228253,0.3696590622021153,-113201.70000001257,1.6891515071039702,0.03160270880361174,0.17394768291063603,0.02788474306201036
25.0,6,1.0,0.12,12103,-100711.89999999969,-8.321234404693026,0.8855655622572915,-0.06069113687597848,-6.676852611478017,0.32541272562009027,-101009.79999999933,1.6635544906221598,0.03552838139304305,0.1378170701478972,0.03131455011154259
20.0,5,1.3,0.125,15062,-105467.30000001178,-7.002210861772127,0.8837471783295711,-0.06095736807160098,-7.481135640932265,0.3642247134657465,-105607.40000001021,1.6891515071039702,0.03160270880361174,0.17394768291063603,0.02788474306201036
15.0,12,1.5,0.4,15394,-119842.70000001238,-7.785026633754215,0.891451214758997,-0.06132720530514046,-7.609023324030163,0.5351739780864707,-121310.00000001417,2.6681824087306745,0.1458360400155905,0.10543068728075873,0.13817071586332338
