pair,tf,metric,H,thr,dir,net_ppd,amddp5_ppd,n,wr
EUR_USD,2h,summary,1,0.5,follow,-9.400343445907398,-10.844155695478092,2412,39.67661691542288
EUR_USD,2h,summary,1,0.5,fade,-10.448998282770477,-11.919026903262747,2412,44.69320066334992
EUR_USD,2h,summary,3,0.1,follow,-17.28082427017755,-29.106307956496952,4886,44.781006958657386
EUR_USD,2h,summary,3,0.1,fade,-23.32684602175168,-35.39861476817411,4886,47.19607040523946
EUR_USD,2h,summary,3,0.3,follow,-14.729708070978877,-24.552673153978308,3997,44.283212409306984
EUR_USD,2h,summary,3,0.3,fade,-18.25117344018322,-28.183949627933643,3997,47.735801851388544
EUR_USD,2h,summary,3,0.5,follow,-9.511619919862786,-15.669147109330448,2412,42.91044776119403
EUR_USD,2h,summary,3,0.5,fade,-10.337721808815086,-16.488391528334255,2412,49.08789386401327
EUR_USD,2h,summary,6,0.1,follow,-16.541957641671576,-47.916702919290366,4884,47.19492219492219
EUR_USD,2h,summary,6,0.1,fade,-24.05197481396687,-56.163560389238775,4884,47.19492219492219
EUR_USD,2h,summary,6,0.3,follow,-15.604350314825542,-41.684876931883366,3996,46.371371371371374
EUR_USD,2h,summary,6,0.3,fade,-17.369204350314806,-43.62547223812247,3996,48.02302302302302
EUR_USD,2h,summary,6,0.5,follow,-11.421866056096286,-27.70871207784787,2412,45.398009950248756
EUR_USD,2h,summary,6,0.5,fade,-8.427475672581588,-24.65879793932456,2412,49.33665008291874
EUR_USD,2h,osc_rating,1,0.1,follow,-13.151459645105945,-14.964453348597647,2987,40.20756611985269
EUR_USD,2h,osc_rating,1,0.1,fade,-11.552833428734974,-13.325861476817401,2987,44.258453297623035
EUR_USD,2h,osc_rating,1,0.3,follow,-3.1175729822553007,-3.6819919862621693,950,40.31578947368421
EUR_USD,2h,osc_rating,1,0.3,fade,-4.549055523755018,-5.1492615912993775,950,44.73684210526316
EUR_USD,2h,osc_rating,3,0.1,follow,-9.737836290784285,-17.18454493417294,2986,44.8760884125921
EUR_USD,2h,osc_rating,3,0.1,fade,-14.959129937034888,-22.508769318832247,2986,46.98593436034829
EUR_USD,2h,osc_rating,3,0.3,follow,-3.3050944476245805,-5.620572409845528,949,44.46786090621707
EUR_USD,2h,osc_rating,3,0.3,fade,-4.35420721236399,-6.779965655409208,949,47.73445732349842
EUR_USD,2h,osc_rating,6,0.1,follow,-10.721465369204438,-30.177378362907923,2983,47.904793831713036
EUR_USD,2h,osc_rating,6,0.1,fade,-13.953978248425834,-33.75808815111616,2983,46.66443178008716
EUR_USD,2h,osc_rating,6,0.3,follow,-3.448425872925063,-9.55989696622787,948,47.36286919831223
EUR_USD,2h,osc_rating,6,0.3,fade,-4.203548941041759,-10.506456783056638,948,46.94092827004219
EUR_USD,2h,ma_rating,1,0.1,follow,-20.0299942759016,-22.85922152261024,4900,40.93877551020408
EUR_USD,2h,ma_rating,1,0.1,fade,-20.507155123068255,-23.348311390956066,4900,43.44897959183673
EUR_USD,2h,ma_rating,1,0.3,follow,-18.89502003434468,-21.52981110475109,4506,40.612516644474034
EUR_USD,2h,ma_rating,1,0.3,fade,-18.518603319977174,-21.1439839725244,4506,43.830448291167336
EUR_USD,2h,ma_rating,1,0.5,follow,-15.496508299942793,-17.650497996565573,3647,40.49904030710173
EUR_USD,2h,ma_rating,1,0.5,fade,-14.610417859187233,-16.74225529479113,3647,44.091033726350425
EUR_USD,2h,ma_rating,3,0.1,follow,-17.234573554665232,-29.083285632512972,4898,44.75296039199673
EUR_USD,2h,ma_rating,3,0.1,fade,-23.287922152261125,-35.40962793360056,4898,47.16210698244181
EUR_USD,2h,ma_rating,3,0.3,follow,-17.673726388094014,-28.719404693760875,4506,44.27430093209054
EUR_USD,2h,ma_rating,3,0.3,fade,-19.739896966227835,-30.87720663995422,4506,47.558810474922325
EUR_USD,2h,ma_rating,3,0.5,follow,-14.011906124785414,-23.094035489410484,3647,43.87167534960241
EUR_USD,2h,ma_rating,3,0.5,fade,-16.09502003434461,-25.207910704064123,3647,48.12174389909515
EUR_USD,2h,ma_rating,6,0.1,follow,-16.994161419576532,-48.530337721808934,4896,46.997549019607845
EUR_USD,2h,ma_rating,6,0.1,fade,-23.51459645105904,-55.7392444190041,4896,47.40604575163398
