pair,S_bars,T_s_bars,W_pips,is_net,oos_net,oos_dd,oos_trades,oos_tp,oos_stag,oos_scratch,oos_end
GBP_JPY,12,96.0,15.0,-1639.5000000000011,-278.6000000000013,-593.8999999999992,36,26,5,4,1
GBP_JPY,24,,,-1615.100000000001,-307.09999999999735,-593.8999999999992,20,18,1,0,1
GBP_JPY,24,288.0,10.0,-1609.9000000000017,-355.1999999999964,-593.8999999999992,24,18,2,3,1
GBP_JPY,24,288.0,5.0,-1613.1000000000026,-352.0999999999958,-593.8999999999992,24,18,2,3,1
GBP_JPY,24,96.0,15.0,-1648.1000000000022,-332.6000000000015,-703.599999999997,57,36,14,6,1
GBP_JPY,48,,,-1611.7000000000007,-311.900000000001,-593.8999999999992,38,31,6,0,1
GBP_JPY,48,288.0,10.0,-1606.5000000000014,-369.3000000000019,-593.8999999999992,42,31,7,3,1
GBP_JPY,48,288.0,5.0,-1609.7000000000025,-376.70000000000323,-593.8999999999992,41,31,7,2,1
GBP_JPY,48,96.0,15.0,-1644.7000000000019,-346.40000000000265,-684.7000000000007,69,47,16,5,1
GBP_JPY,72,,,-1633.6000000000013,-292.6000000000011,-593.8999999999992,36,30,5,0,1
GBP_JPY,72,288.0,10.0,-1628.4000000000021,-391.6000000000017,-593.8999999999992,40,30,6,3,1
GBP_JPY,72,288.0,5.0,-1631.600000000003,-399.00000000000307,-593.8999999999992,39,30,6,2,1
GBP_JPY,72,96.0,15.0,-1665.900000000002,-248.90000000000325,-625.7999999999979,62,45,11,5,1
GBP_JPY,144,,,-1708.300000000001,-411.4999999999999,-593.8999999999992,30,26,3,0,1
GBP_JPY,144,288.0,10.0,-1703.1000000000017,-426.500000000003,-593.8999999999992,33,26,3,3,1
GBP_JPY,144,288.0,5.0,-1706.300000000003,-415.5000000000018,-593.8999999999992,32,26,3,2,1
GBP_JPY,144,96.0,15.0,-1707.3000000000009,-419.5000000000057,-644.3,55,40,7,7,1
GBP_JPY,288,,,-1616.9000000000012,-384.6999999999987,-593.8999999999992,30,27,2,0,1
GBP_JPY,288,288.0,10.0,-1611.700000000002,-381.2999999999992,-593.8999999999992,33,27,2,3,1
GBP_JPY,288,288.0,5.0,-1614.900000000003,-388.7000000000006,-593.8999999999992,32,27,2,2,1
GBP_JPY,288,96.0,15.0,-1645.1000000000022,-563.5000000000025,-779.8,50,38,6,5,1
AUD_JPY,12,,,-838.9800000000021,-633.0199999999994,-657.5799999999997,4,1,2,0,1
AUD_JPY,12,288.0,10.0,-981.2000000000007,-633.0199999999994,-657.5799999999997,4,1,2,0,1
AUD_JPY,12,288.0,5.0,-898.5200000000017,-633.0199999999994,-657.5799999999997,4,1,2,0,1
AUD_JPY,12,96.0,15.0,-1061.4600000000003,-633.0199999999994,-657.5799999999997,4,1,2,0,1
AUD_JPY,24,,,-648.5799999999995,-633.8200000000004,-652.4400000000004,4,1,2,0,1
AUD_JPY,24,288.0,10.0,-678.1400000000019,-633.8200000000004,-652.4400000000004,4,1,2,0,1
AUD_JPY,24,288.0,5.0,-647.619999999999,-633.8200000000004,-652.4400000000004,4,1,2,0,1
AUD_JPY,24,96.0,15.0,-1082.0600000000018,-633.8200000000004,-652.4400000000004,4,1,2,0,1
AUD_JPY,48,,,-1066.6800000000035,-269.40000000000094,-564.9799999999996,35,24,10,0,1
AUD_JPY,48,288.0,10.0,-1066.6800000000035,-269.40000000000094,-564.9799999999996,35,24,10,0,1
AUD_JPY,48,288.0,5.0,-1066.6800000000035,-269.40000000000094,-564.9799999999996,35,24,10,0,1
