ci,name,bf,is_pnl,is_ntrd,c0,c1,c2
8346,b20_r3_n5_E2_X1_5_bf5,5,2430.2,597,691.6,1366.7,371.9
10205,b30_r3_n3_E1_X1_5_bf3,3,2419.7,455,941.7,848.0,630.0
10085,b30_r3_n2_E1_X1_5_bf3,3,2419.7,455,941.7,848.0,630.0
9565,b30_r2_n3_E2_X3b_3_bf3,3,2418.9,503,627.7,1774.8,16.4
8491,b20_r3_n6_E2_X7_3_bf7,7,2415.2,342,462.6,1246.4,706.2
6460,b15_r3_n8_E2_X3c_1_3,0,2404.9,462,66.5,742.9,1595.5
6436,b15_r3_n8_E2_X3b_1,0,2404.9,462,66.5,742.9,1595.5
6464,b15_r3_n8_E2_X3c_1_5,0,2404.9,462,66.5,742.9,1595.5
6210,b15_r3_n5_E2_X7_3_bf5,5,2372.7,778,811.6,1427.6,133.5
8800,b30_r1_n3_E1_X3c_1_3,0,2362.4,228,239.8,775.4,1347.2
8490,b20_r3_n6_E2_X7_3_bf5,5,2330.3,366,394.1,940.1,996.1
10532,b30_r3_n5_E2_X7_5,0,2322.8,236,1830.3,406.3,86.2
8347,b20_r3_n5_E2_X1_5_bf7,7,2307.2,556,290.5,1794.7,222.0
7524,b20_r2_n4_E2_X3b_3,0,2291.2,760,622.5,694.1,974.6
8888,b30_r1_n4_E1_X1_8,0,2286.6,34,475.3,688.0,1123.3
10496,b30_r3_n5_E1_X3c_3_5,0,2272.1,493,513.6,359.6,1398.9
4608,b15_r1_n4_E1_X3c_2_3,0,2263.5,537,186.5,568.4,1508.6
8494,b20_r3_n6_E2_X7_5_bf5,5,2263.1,365,680.2,1112.1,470.8
8493,b20_r3_n6_E2_X7_5_bf3,3,2258.7,373,779.7,1022.0,457.0
9689,b30_r2_n4_E2_X7_3_bf3,3,2253.3,318,523.2,711.7,1018.4
8488,b20_r3_n6_E2_X7_3,0,2234.0,409,413.9,699.2,1120.9
4640,b15_r1_n4_E2_X3b_2,0,2232.0,476,312.7,511.2,1408.1
7284,b20_r2_n2_E2_X3b_3,0,2218.0,1714,292.3,898.8,1026.9
7391,b20_r2_n3_E2_X1_8_bf7,7,2196.7,452,534.8,711.4,950.5
4876,b15_r1_n6_E2_X3b_1,0,2195.4,106,123.9,460.7,1610.8
4900,b15_r1_n6_E2_X3c_1_3,0,2178.2,106,123.9,424.9,1629.4
9469,b30_r2_n2_E2_X3c_2_3_bf3,3,2173.4,1231,564.0,140.0,1469.4
2840,b10_r1_n8_E2_X3b_2,0,2159.5,146,13.8,482.9,1662.8
4904,b15_r1_n6_E2_X3c_1_5,0,2155.5,106,123.9,424.9,1606.7
2780,b10_r1_n8_E1_X3b_2,0,2151.8,149,13.8,482.9,1655.1
4840,b15_r1_n6_E1_X3c_1_3,0,2140.6,118,103.8,415.4,1621.4
10570,b30_r3_n6_E1_X1_8_bf5,5,2132.8,184,622.8,1.0,1509.0
4816,b15_r1_n6_E1_X3b_1,0,2127.5,118,103.8,451.2,1572.5
8492,b20_r3_n6_E2_X7_5,0,2126.4,408,705.5,584.2,836.7
4844,b15_r1_n6_E1_X3c_1_5,0,2117.9,118,103.8,415.4,1598.7
2872,b10_r1_n8_E2_X3c_2_5,0,2117.4,146,22.1,477.1,1618.2
2868,b10_r1_n8_E2_X3c_2_3,0,2107.9,146,26.9,452.1,1628.9
2812,b10_r1_n8_E1_X3c_2_5,0,2093.4,149,22.1,477.1,1594.2
8495,b20_r3_n6_E2_X7_5_bf7,7,2089.7,342,743.6,835.2,510.9
2808,b10_r1_n8_E1_X3c_2_3,0,2081.8,149,26.9,452.1,1602.8
9597,b30_r2_n3_E2_X3c_3_5_bf3,3,2074.6,564,110.2,1555.2,409.2
8068,b20_r3_n3_E1_X7_3,0,2069.6,907,968.1,790.1,311.4
7948,b20_r3_n2_E1_X7_3,0,2069.6,907,968.1,790.1,311.4
10689,b30_r3_n8_E1_X1_8_bf3,3,2055.5,144,644.9,1314.6,96.0
9441,b30_r2_n2_E2_X3b_2_bf3,3,2053.0,1149,751.3,328.2,973.5
4788,b15_r1_n5_E2_X3c_2_3,0,2037.8,192,267.0,580.8,1190.0
7400,b20_r2_n3_E2_X3b_2,0,2036.9,1641,975.4,839.2,222.3
2756,b10_r1_n6_E2_X3c_3_5,0,2026.5,418,51.9,376.9,1597.7
9443,b30_r2_n2_E2_X3b_2_bf7,7,2018.8,1039,732.2,226.8,1059.8
2724,b10_r1_n6_E2_X3b_3,0,1998.1,409,5.9,357.0,1635.2
4612,b15_r1_n4_E1_X3c_2_5,0,1985.0,537,214.9,437.0,1333.1
9473,b30_r2_n2_E2_X3c_2_5_bf3,3,1962.7,1186,808.1,107.6,1047.0
10526,b30_r3_n5_E2_X3b_3_bf5,5,1961.9,311,1172.7,785.3,3.9
4760,b15_r1_n5_E2_X3b_2,0,1955.1,192,289.7,643.5,1021.9
10168,b30_r3_n2_E2_X7_3,0,1954.8,337,835.4,273.9,845.5
10288,b30_r3_n3_E2_X7_3,0,1954.8,337,835.4,273.9,845.5
4792,b15_r1_n5_E2_X3c_2_5,0,1940.8,192,263.5,575.2,1102.1
8948,b30_r1_n4_E2_X1_8,0,1935.3,31,475.3,574.1,885.9
10280,b30_r3_n3_E2_X3b_2,0,1934.0,1028,1106.4,437.1,390.5
