ci,name,is_pnl,is_ntrd,c0,c1,c2
256,atr7_m1p0_r1_n3_E1_X3b_1,8776.7,5597,1505.6,4345.4,2925.7
2517,atr20_m0p5_r2_n4_E1_X3c_2_5,8541.7,8051,1695.4,4077.8,2768.4
2519,atr20_m0p5_r2_n4_E1_X3c_2_3,8538.4,8058,1734.3,3958.0,2846.0
2471,atr20_m0p5_r1_n6_E1_X3c_2_3,8464.1,1143,2217.6,2905.0,3341.5
2465,atr20_m0p5_r1_n6_E1_X3b_2,8436.7,1143,2235.7,2874.8,3326.2
2469,atr20_m0p5_r1_n6_E1_X3c_2_5,8397.0,1143,2202.7,2874.8,3319.5
3521,atr20_m3p0_r3_n2_E1_X3b_2,8363.8,844,2095.0,4992.0,1276.8
3525,atr20_m3p0_r3_n2_E1_X3c_2_5,8291.2,846,2095.0,5007.1,1189.1
2549,atr20_m0p5_r2_n6_E1_X3c_2_5,8283.7,1054,2080.3,3037.0,3166.5
2513,atr20_m0p5_r2_n4_E1_X3b_2,8282.4,8038,1674.7,3995.8,2611.9
3527,atr20_m3p0_r3_n2_E1_X3c_2_3,8276.7,847,2113.0,5022.1,1141.6
2545,atr20_m0p5_r2_n6_E1_X3b_2,8242.6,1054,2094.0,3001.5,3147.0
2551,atr20_m0p5_r2_n6_E1_X3c_2_3,8238.5,1054,2074.6,2995.7,3168.2
1540,atr14_m1p0_r2_n3_E1_X3c_1_5,8215.9,10908,1302.8,4089.2,2823.8
1542,atr14_m1p0_r2_n3_E1_X3c_1_3,8180.6,10909,1296.7,4037.1,2846.8
